"","palabra","n"
"225","clientes",52
"226","ld",52
"227","niveles",52
"228","3b",51
"229","carla",51
"230","clnas",51
"231","mts",51
"232","privado",51
"233","baruta",50
"234","christian",50
"235","esmeraldas",50
"236","mónica",50
"237","pb",50
"238","semi",50
"239","szotyori",50
"240","california",49
"241","cumbres",49
"242","mc",49
"243","paraiso",49
"244","piso",49
"245","ag",48
"246","curumo",48
"247","ivanna",48
"248","mesetas",48
"249","mjs",48
"250","urbanizacion",48
"251","mr",47
"252","23",46
"253","buscas",46
"254","c",46
"255","campitos",46
"256","ejecutivo",46
"257","exclusividad",46
"258","funcional",46
"259","practico",46
"260","2pe",45
"261","as",45
"262","d.j",45
"263","fresco",45
"264","increíble",45
"265","municipio",45
"266","residencial",45
"267","vivir",45
"268","acabados",44
"269","candelaria",44
"270","gn",44
"271","ml",44
"272","mts2",44
"273","parque",44
"274","vive",44
"275","caurimare",43
"276","confortable",43
"277","habitar",43
"278","mv",43
"279","alto",42
"280","csa",42
"281","sm",42
"282","at",41
"283","bosque",41
"284","garcia",41
"285","mejor",41
"286","nuevo",41
"287","panorámica",41
"288","trinidad",40
"289","ubicacion",40
"290","bien",39
"291","dany",39
"292","mollejas",39
"293","aa",38
"294","diseño",38
"295","mirador",38
"296","16071",37
"297","17244",37
"298","bb",37
"299","campiña",37
"300","distribución",37
"301","estilo",37
"302","hipico",37
"303","lm",37
"304","magaly",37
"305","caro",36
"306","corazón",36
"307","cs",36
"308","inchausti",36
"309","ana",35
"310","apartamentos",35
"311","blanco",35
"312","embajada",35
"313","marigreys",35
"314","ref",35
"315","rt",35
"316","áreas",35
"317","15519",34
"318","2782",34
"319","caobos",34
"320","chaguaramos",34
"321","espacio",34
"322","exclusiva",34
"323","mejores",34
"324","rc",34
"325","1pe",33
"326","ascensor",33
"327","ejecutivos",33
"328","equipada",33
"329","jca",33
"330","palmas",33
"331","prados",33
"332","darlys",32
"333","pareja",32
"334","perez",32
"335","tranquilidad",32
"336","bajo",31
"337","cl",31
"338","ll",31
"339","mas",31
"340","servicio",31
"341","smb",31
"342","13590",30
"343","ch",30
"344","contáctame",30
"345","mudarse",30
"346","sala",30
"347","ug",30
"348","13945",29
"349","14364",29
"350","aire",29
"351","aj",29
"352","centro",29
"353","densidad",29
"354","ely",29
"355","montaña",29
"356","muebles",29
"357","rex",29
"358","servicios",29
"359","toubia",29
"360","13730",28
"361","15742",28
"362","17026",28
"363","americana",28
"364","aranguren",28
"365","edgarys",28
"366","edith",28
"367","fg",28
"368","gran",28
"369","jel",28
"370","maravilloso",28
"371","sociales",28
"372","sv",28
"373","11802",27
"374","12782",27
"375","17605",27
"376","17839",27
"377","4h",27
"378","7",27
"379","ccct",27
"380","hotel",27
"381","marqués",27
"382","miranda",27
"383","pedregal",27
"384","roche",27
"385","vp",27
"386","wm",27
"387","zonas",27
"388","10031",26
"389","11531",26
"390","15945",26
"391","16244",26
"392","16913",26
"393","16957",26
"394","16973",26
"395","cedeño",26
"396","js",26
"397","lb26",26
"398","ms",26
"399","neyla",26
"400","primera",26
"401","quinta",26
"402","sag",26
"403","ventilado",26
"404","ycl",26
"405","14065",25
"406","14424",25
"407","15154",25
"408","17930",25
"409","23398",25
"410","4b",25
"411","6891",25
"412","6984",25
"413","clima",25
"414","elsy",25
"415","gusto",25
"416","loft",25
"417","machado",25
"418","oripoto",25
"419","plaza",25
"420","stephany",25
"421","suite",25
"422","tamanaco",25
"423","12947",24
"424","15696",24
"425","16811",24
"426","16976",24
"427","17369",24
"428","17457",24
"429","18209",24
"430","chacón",24
"431","encantador",24
"432","estratégica",24
"433","iluminación",24
"434","lisbet",24
"435","p",24
"436","parte",24
"437","pv",24
"438","rf",24
"439","ruices",24
"440","ym",24
"441","1003",23
"442","10332",23
"443","13167",23
"444","15601",23
"445","16238",23
"446","16736",23
"447","17296",23
"448","17366",23
"449","17987",23
"450","23399",23
"451","8133",23
"452","acceso",23
"453","carlota",23
"454","casa",23
"455","espacios",23
"456","ev",23
"457","gimnasio",23
"458","i",23
"459","increible",23
"460","juan",23
"461","mariela",23
"462","perfecto",23
"463","sánchez",23
"464","total",23
"465","urdaneta",23
"466","yt",23
"467","11154",22
"468","14267",22
"469","16751",22
"470","16762",22
"471","17781",22
"472","17791",22
"473","17799",22
"474","17864",22
"475","18126",22
"476","acondicionado",22
"477","adriana",22
"478","agradable",22
"479","al26",22
"480","alquilar",22
"481","bm",22
"482","constante",22
"483","ip",22
"484","jlrp",22
"485","montalban",22
"486","naomi",22
"487","premium",22
"488","r",22
"489","santana",22
"490","wsz",22
"491","10814",21
"492","10839",21
"493","12850",21
"494","13078",21
"495","13158",21
"496","13594",21
"497","14960",21
"498","15179",21
"499","15661",21
"500","16391",21
"501","17625",21
"502","17755",21
"503","4349",21
"504","7360",21
"505","amplia",21
"506","boleíta",21
"507","bonita",21
"508","comedor",21
"509","comercial",21
"510","cuadrados",21
"511","disfruta",21
"512","ines",21
"513","miravila",21
"514","nl",21
"515","seguro",21
"516","sr",21
"517","visitantes",21
"518","yz",21
"519","120m2",20
"520","12487",20
"521","14078",20
"522","16397",20
"523","16524",20
"524","17959",20
"525","3p",20
"526","5",20
"527","excelentes",20
"528","franklin",20
"529","jaiqueline",20
"530","m",20
"531","marcano",20
"532","np",20
"533","oficina",20
"534","parejas",20
"535","pisos",20
"536","seijas",20
"537","ss",20
"538","yfg",20
"539","ys",20
"540","13087",19
"541","13417",19
"542","14170",19
"543","14192",19
"544","14440",19
"545","14506",19
"546","14731",19
"547","15057",19
"548","15274",19
"549","15416",19
"550","15926",19
"551","16239",19
"552","17689",19
"553","17811",19
"554","18093",19
"555","18264",19
"556","24928",19
"557","3877",19
"558","5824",19
"559","65",19
"560","7798",19
"561","bella",19
"562","bellísimo",19
"563","cuenta",19
"564","internet",19
"565","mq",19
"566","recreo",19
"567","residencias",19
"568","roman",19
"569","tanque",19
"570","v",19
"571","vida",19
"572","vizcaya",19
"573","10165",18
"574","14100",18
"575","14744",18
"576","15141",18
"577","16202",18
"578","16569",18
"579","16914",18
"580","17382",18
"581","17800",18
"582","7452",18
"583","bonito",18
"584","combina",18
"585","céntrico",18
"586","df",18
"587","dm",18
"588","habitacion",18
"589","hgk",18
"590","inmueble",18
"591","principal",18
"592","tranquila",18
"593","vs",18
"594","12368",17
"595","12865",17
"596","13366",17
"597","14224",17
"598","15101",17
"599","15476",17
"600","16028",17
"601","17357",17
"602","17912",17
"603","18169",17
"604","18223",17
"605","18334",17
"606","2460",17
"607","7470",17
"608","780",17
"609","areas",17
"610","buen",17
"611","buscan",17
"612","cf",17
"613","comercios",17
"614","descubre",17
"615","magnifico",17
"616","mt2",17
"617","mtrs2",17
"618","precio",17
"619","refugio",17
"620","todas",17
"621","10179",16
"622","1094",16
"623","1221",16
"624","12682",16
"625","14425",16
"626","15367",16
"627","16663",16
"628","17143",16
"629","17217",16
"630","17359",16
"631","17459",16
"632","17921",16
"633","7005",16
"634","80",16
"635","8974",16
"636","9078",16
"637","9611",16
"638","buena",16
"639","cada",16
"640","cira",16
"641","condominio",16
"642","código",16
"643","empotrada",16
"644","familia",16
"645","frente",16
"646","lld",16
"647","lugar",16
"648","luis",16
"649","luz",16
"650","mdcr",16
"651","natural",16
"652","pd",16
"653","si",16
"654","simancas",16
"655","urbanizaciones",16
"656","wsuarez",16
"657","10032",15
"658","10573",15
"659","10642",15
"660","11716",15
"661","12800",15
"662","12836",15
"663","13248",15
"664","13262",15
"665","13289",15
"666","13290",15
"667","14395",15
"668","15475",15
"669","15609",15
"670","16718",15
"671","16841",15
"672","17238",15
"673","17479",15
"674","17682",15
"675","17785",15
"676","17851",15
"677","17873",15
"678","18035",15
"679","18175",15
"680","18280",15
"681","18336",15
"682","18604",15
"683","1e",15
"684","28032",15
"685","5820",15
"686","6117",15
"687","6744",15
"688","70m2",15
"689","9104",15
"690","9695",15
"691","acacias",15
"692","avenida",15
"693","calidad",15
"694","carrero",15
"695","diseñado",15
"696","espera",15
"697","jc",15
"698","ks",15
"699","luminoso",15
"700","persona",15
"701","precioso",15
"702","recién",15
"703","serv",15
"704","union",15
"705","vende",15
"706","yosmil",15
"707","10700",14
"708","10972",14
"709","10980",14
"710","11686",14
"711","12661",14
"712","12677",14
"713","12953",14
"714","13454",14
"715","14279",14
"716","14810",14
"717","15002",14
"718","15096",14
"719","15298",14
"720","15319",14
"721","15465",14
"722","15580",14
"723","15700",14
"724","15920",14
"725","16018",14
"726","16116",14
"727","16583",14
"728","17277",14
"729","17432",14
"730","17688",14
"731","17909",14
"732","17989",14
"733","18130",14
"734","18261",14
"735","22",14
"736","220m2",14
"737","3414",14
"738","5003",14
"739","5383",14
"740","5528",14
"741","5877",14
"742","6300",14
"743","69",14
"744","6933",14
"745","6996",14
"746","6997",14
"747","9350",14
"748","caiza",14
"749","cd",14
"750","centrico",14
"751","destaca",14
"752","disfrutar",14
"753","dmh",14
"754","edificios",14
"755","fácil",14
"756","gallegos",14
"757","hípico",14
"758","indi.v",14
"759","jrz",14
"760","km",14
"761","maletero",14
"762","maria",14
"763","nc",14
"764","pe",14
"765","propio",14
"766","sola",14
"767","tener",14
"768","transporte",14
"769","tres",14
"770","vistas",14
"771","10225",13
"772","11886",13
"773","12635",13
"774","12911",13
"775","12933",13
"776","13328",13
"777","13941",13
"778","14195",13
"779","14870",13
"780","150m2",13
"781","15253",13
"782","15389",13
"783","15596",13
"784","1572",13
"785","15895",13
"786","15948",13
"787","16022",13
"788","16030",13
"789","16302",13
"790","16649",13
"791","16740",13
"792","17454",13
"793","17467",13
"794","17468",13
"795","17493",13
"796","17616",13
"797","17763",13
"798","17777",13
"799","18075",13
"800","18231",13
"801","18477",13
"802","19003",13
"803","3hab",13
"804","5017",13
"805","50m2",13
"806","5b",13
"807","6073",13
"808","60m2",13
"809","8124",13
"810","8325",13
"811","9570",13
"812","9826",13
"813","además",13
"814","asesores",13
"815","b",13
"816","capital",13
"817","cda",13
"818","cipf",13
"819","distribuido",13
"820","edf",13
"821","ee26",13
"822","eléctrica",13
"823","fm",13
"824","granito",13
"825","ims",13
"826","inmuebles",13
"827","lt",13
"828","maletas",13
"829","nivel",13
"830","olga",13
"831","pomelos",13
"832","prada",13
"833","prado",13
"834","prestigiosa",13
"835","propiedad",13
"836","residencia",13
"837","sharon",13
"838","sucre",13
"839","tope",13
"840","ue",13
"841","verdes",13
"842","x7q",13
"843","yb",13
"844","10577",12
"845","10973",12
"846","11685",12
"847","12042",12
"848","12835",12
"849","12967",12
"850","13172",12
"851","13192",12
"852","14194",12
"853","14423",12
"854","14879",12
"855","16004",12
"856","16585",12
"857","16626",12
"858","16853",12
"859","17095",12
"860","17124",12
"861","1719",12
"862","17395",12
"863","17580",12
"864","1768",12
"865","18445",12
"866","18483",12
"867","18711",12
"868","23959",12
"869","24h",12
"870","5857",12
"871","6232",12
"872","64",12
"873","7960",12
"874","98m2",12
"875","abstenerse",12
"876","amplitud",12
"877","aquí",12
"878","betancourt",12
"879","cgi",12
"880","comodidades",12
"881","condiciones",12
"882","contactame",12
"883","céntrica",12
"884","da",12
"885","ep",12
"886","francis",12
"887","inmejorable",12
"888","ljah",12
"889","lp",12
"890","luxury",12
"891","magnífico",12
"892","rm",12
"893","sb",12
"894","techados",12
"895","triplex",12
"896","verde",12
"897","zeppieri",12
"898","100m2",11
"899","10841",11
"900","11380",11
"901","11625",11
"902","11893",11
"903","12454",11
"904","12688",11
"905","13313",11
"906","13400",11
"907","13646",11
"908","13869",11
"909","14116",11
"910","15076",11
"911","15125",11
"912","15140",11
"913","15264",11
"914","15507",11
"915","16640",11
"916","16682",11
"917","16709",11
"918","17198",11
"919","17403",11
"920","17461",11
"921","17535",11
"922","17587",11
"923","17960",11
"924","18260",11
"925","18316",11
"926","29192",11
"927","2hab",11
"928","3.5b",11
"929","4572",11
"930","58m2",11
"931","70",11
"932","8515",11
"933","8692",11
"934","9828",11
"935","a.s",11
"936","amplias",11
"937","amueblado",11
"938","ar",11
"939","balcón",11
"940","civf",11
"941","dc",11
"942","diaz",11
"943","directos",11
"944","electrica",11
"945","exquisito",11
"946","fabuloso",11
"947","ff",11
"948","gustavo",11
"949","mobiliario",11
"950","modernidad",11
"951","mudarte",11
"952","nevera",11
"953","premier",11
"954","privacidad",11
"955","r.o",11
"956","ratzina",11
"957","salón",11
"958","solano",11
"959","suites",11
"960","vbrr",11
"961","yp",11
"962","10063",10
"963","10590",10
"964","11124",10
"965","12587",10
"966","13343",10
"967","13415",10
"968","13517",10
"969","14062",10
"970","14183",10
"971","14312",10
"972","14544",10
"973","15047",10
"974","15226",10
"975","15262",10
"976","15278",10
"977","16304",10
"978","16314",10
"979","16316",10
"980","16670",10
"981","16825",10
"982","16845",10
"983","17019",10
"984","17150",10
"985","17202",10
"986","17291",10
"987","17855",10
"988","18025",10
"989","18037",10
"990","18195",10
"991","18215",10
"992","18346",10
"993","18737",10
"994","22217",10
"995","24458",10
"996","2823",10
"997","31600",10
"998","5436",10
"999","55",10
"1000","5h",10
"1001","6877",10
"1002","8008",10
"1003","9342",10
"1004","altura",10
"1005","amplios",10
"1006","antonieta",10
"1007","canon",10
"1008","central",10
"1009","delicias",10
"1010","eb",10
"1011","elegancia",10
"1012","evelyn",10
"1013","fr",10
"1014","francisco",10
"1015","franco",10
"1016","full",10
"1017","g.s",10
"1018","h",10
"1019","horas",10
"1020","imponente",10
"1021","inés",10
"1022","jardín",10
"1023","libertador",10
"1024","local",10
"1025","materiales",10
"1026","mármol",10
"1027","perfil",10
"1028","práctico",10
"1029","quieres",10
"1030","sector",10
"1031","tg",10
"1032","tranquilo",10
"1033","venezuela",10
"1034","zm",10
"1035","100",9
"1036","11085",9
"1037","11361",9
"1038","12282",9
"1039","12510",9
"1040","12570",9
"1041","130m2",9
"1042","13104",9
"1043","13105",9
"1044","13461",9
"1045","13547",9
"1046","13729",9
"1047","13832",9
"1048","14359",9
"1049","14396",9
"1050","14398",9
"1051","143m2",9
"1052","14572",9
"1053","14734",9
"1054","14818",9
"1055","15317",9
"1056","15364",9
"1057","15731",9
"1058","15763",9
"1059","16066",9
"1060","16139",9
"1061","16513",9
"1062","16537",9
"1063","16648",9
"1064","16722",9
"1065","16726",9
"1066","16756",9
"1067","16955",9
"1068","16962",9
"1069","17149",9
"1070","17334",9
"1071","17460",9
"1072","17655",9
"1073","18170",9
"1074","18287",9
"1075","18411",9
"1076","1hab",9
"1077","1m",9
"1078","1s",9
"1079","2.5b",9
"1080","200m2",9
"1081","2e",9
"1082","3644",9
"1083","5739",9
"1084","7411",9
"1085","8142",9
"1086","8584",9
"1087","90m2",9
"1088","abierto",9
"1089","abm",9
"1090","ambientes",9
"1091","balcon",9
"1092","c.c",9
"1093","cct",9
"1094","chacaito",9
"1095","concepto",9
"1096","cr",9
"1097","e.n",9
"1098","edif",9
"1099","em",9
"1100","estratégico",9
"1101","fjg",9
"1102","gym",9
"1103","ii",9
"1104","iii",9
"1105","j",9
"1106","kp",9
"1107","lavadora",9
"1108","majestuoso",9
"1109","merw",9
"1110","mjr",9
"1111","mls25",9
"1112","monterrey",9
"1113","naranjal",9
"1114","oa",9
"1115","panoramica",9
"1116","parcialmente",9
"1117","preciosa",9
"1118","román",9
"1119","super",9
"1120","vg",9
"1121","villa",9
"1122","área",9
"1123","única",9
"1124","110m2",8
"1125","115",8
"1126","116",8
"1127","120",8
"1128","12386",8
"1129","13140",8
"1130","13346",8
"1131","140m2",8
"1132","14585",8
"1133","14677",8
"1134","14784",8
"1135","15201",8
"1136","16859",8
"1137","16910",8
"1138","17052",8
"1139","17654",8
"1140","1770",8
"1141","17782",8
"1142","18349",8
"1143","18368",8
"1144","4427",8
"1145","4476",8
"1146","4741",8
"1147","5064",8
"1148","5599",8
"1149","58",8
"1150","6178",8
"1151","75",8
"1152","7979",8
"1153","8386",8
"1154","85m2",8
"1155","8620",8
"1156","9310",8
"1157","9756",8
"1158","apt",8
"1159","cinta",8
"1160","ciudadela",8
"1161","cog",8
"1162","colina",8
"1163","conectividad",8
"1164","distribuidos",8
"1165","encuentra",8
"1166","equilibrio",8
"1167","excepcional",8
"1168","f",8
"1169","funcionalidad",8
"1170","golf",8
"1171","hh",8
"1172","horizonte",8
"1173","ic",8
"1174","independiente",8
"1175","infantil",8
"1176","inmobiliarios",8
"1177","ir",8
"1178","jardin",8
"1179","leslie",8
"1180","linda",8
"1181","mantenido",8
"1182","md26",8
"1183","mgt",8
"1184","np26",8
"1185","opción",8
"1186","paz",8
"1187","practicidad",8
"1188","próximo",8
"1189","res",8
"1190","romulo",8
"1191","semiamoblado",8
"1192","th",8
"1193","tzas",8
"1194","unión",8
"1195","urbano",8
"1196","vestier",8
"1197","yyx",8
"1198","10296",7
"1199","110",7
"1200","112",7
"1201","11999",7
"1202","12956",7
"1203","13068",7
"1204","13093",7
"1205","13138",7
"1206","13607",7
"1207","13670",7
"1208","13819",7
"1209","13949",7
"1210","13952",7
"1211","14069",7
"1212","14129",7
"1213","14273",7
"1214","143",7
"1215","14342",7
"1216","145m2",7
"1217","14965",7
"1218","150",7
"1219","15149",7
"1220","15711",7
"1221","16164",7
"1222","16195",7
"1223","16482",7
"1224","16483",7
"1225","16625",7
"1226","16716",7
"1227","16869",7
"1228","17079",7
"1229","17285",7
"1230","17361",7
"1231","17499",7
"1232","17528",7
"1233","1769",7
"1234","17860",7
"1235","18026",7
"1236","18214",7
"1237","18317",7
"1238","18529",7
"1239","200",7
"1240","20500",7
"1241","24995",7
"1242","2665",7
"1243","4p",7
"1244","5180",7
"1245","5631",7
"1246","5773",7
"1247","57m2",7
"1248","64m2",7
"1249","6595",7
"1250","7851",7
"1251","84m2",7
"1252","8827",7
"1253","8899",7
"1254","8980",7
"1255","9166",7
"1256","9240",7
"1257","ad",7
"1258","apart",7
"1259","area",7
"1260","blanca",7
"1261","cerrado",7
"1262","disponible",7
"1263","entrar",7
"1264","esplendido",7
"1265","est",7
"1266","estacionamientos",7
"1267","estupenda",7
"1268","familias",7
"1269","fibra",7
"1270","fijo",7
"1271","floresta",7
"1272","fotos",7
"1273","haciendas",7
"1274","hg",7
"1275","hoy",7
"1276","imagina",7
"1277","incluidos",7
"1278","io",7
"1279","isabel",7
"1280","jdv",7
"1281","l",7
"1282","l.p",7
"1283","lado",7
"1284","llegar",7
"1285","loma",7
"1286","ma",7
"1287","mantenimiento",7
"1288","mf",7
"1289","minimalista",7
"1290","mm",7
"1291","mun",7
"1292","necesitas",7
"1293","park",7
"1294","parroquia",7
"1295","pdl",7
"1296","penhouse",7
"1297","perfecta",7
"1298","pf",7
"1299","problemas",7
"1300","pérez",7
"1301","recien",7
"1302","rincón",7
"1303","rodeado",7
"1304","rp",7
"1305","ru",7
"1306","sambil",7
"1307","situado",7
"1308","solteros",7
"1309","sp",7
"1310","town",7
"1311","yq",7
"1312","1000",6
"1313","10338",6
"1314","10491",6
"1315","11391",6
"1316","11467",6
"1317","114m2",6
"1318","11604",6
"1319","11808",6
"1320","12214",6
"1321","12264",6
"1322","12280",6
"1323","12290",6
"1324","12367",6
"1325","12423",6
"1326","12451",6
"1327","12599",6
"1328","12615",6
"1329","12648",6
"1330","12852",6
"1331","12902",6
"1332","13196",6
"1333","13268",6
"1334","13572",6
"1335","13592",6
"1336","14",6
"1337","14666",6
"1338","14971",6
"1339","15015",6
"1340","15211",6
"1341","15462",6
"1342","15621",6
"1343","15902",6
"1344","15907",6
"1345","15963",6
"1346","16037",6
"1347","16784",6
"1348","16818",6
"1349","17084",6
"1350","170m2",6
"1351","17367",6
"1352","17449",6
"1353","17687",6
"1354","18039",6
"1355","18101",6
"1356","18174",6
"1357","18339",6
"1358","20728",6
"1359","21364",6
"1360","21426",6
"1361","22508",6
"1362","230m2",6
"1363","240m2",6
"1364","2baños",6
"1365","305m2",6
"1366","338m2",6
"1367","3505",6
"1368","3956",6
"1369","3pe",6
"1370","4039",6
"1371","4287",6
"1372","45",6
"1373","450",6
"1374","50",6
"1375","51",6
"1376","544",6
"1377","567",6
"1378","57",6
"1379","700",6
"1380","74m2",6
"1381","7915",6
"1382","80m2",6
"1383","8648",6
"1384","90",6
"1385","9024",6
"1386","abr",6
"1387","alquier",6
"1388","anv",6
"1389","aqluiler",6
"1390","bellas",6
"1391","bellisimo",6
"1392","canchas",6
"1393","características",6
"1394","casados",6
"1395","cdo",6
"1396","ciega",6
"1397","colegios",6
"1398","crespo",6
"1399","data",6
"1400","deportivas",6
"1401","despertar",6
"1402","disfrute",6
"1403","doble",6
"1404","día",6
"1405","ea",6
"1406","exclusivas",6
"1407","falta",6
"1408","fantástico",6
"1409","fiesta",6
"1410","fiestas",6
"1411","fn",6
"1412","garita",6
"1413","habt",6
"1414","jardines",6
"1415","lb",6
"1416","lesbia",6
"1417","lozano",6
"1418","lópez",6
"1419","mab",6
"1420","maravillosa",6
"1421","md",6
"1422","mdominguez",6
"1423","mgbg",6
"1424","morales",6
"1425","nb",6
"1426","nueva",6
"1427","parrillera",6
"1428","pasos",6
"1429","pc",6
"1430","plena",6
"1431","presidencial",6
"1432","público",6
"1433","residences",6
"1434","ro",6
"1435","rómulo",6
"1436","seguras",6
"1437","ser",6
"1438","sorocaima",6
"1439","t7m",6
"1440","tn",6
"1441","torre",6
"1442","tranquilas",6
"1443","unica",6
"1444","valoran",6
"1445","xiolimar",6
"1446","yj",6
"1447","001",5
"1448","10208",5
"1449","1049",5
"1450","10710",5
"1451","10859",5
"1452","11527",5
"1453","11739",5
"1454","11788",5
"1455","11801",5
"1456","1188",5
"1457","12345",5
"1458","12519",5
"1459","12590",5
"1460","12779",5
"1461","127m2",5
"1462","12801",5
"1463","12816",5
"1464","13511",5
"1465","140",5
"1466","14090",5
"1467","141",5
"1468","14104",5
"1469","14587",5
"1470","14658",5
"1471","14893",5
"1472","15187",5
"1473","15199",5
"1474","15207",5
"1475","15301",5
"1476","157m2",5
"1477","15844",5
"1478","160m2",5
"1479","16165",5
"1480","1623",5
"1481","16502",5
"1482","16596",5
"1483","165m2",5
"1484","166",5
"1485","16745",5
"1486","16975",5
"1487","17201",5
"1488","17208",5
"1489","17307",5
"1490","17429",5
"1491","17451",5
"1492","17494",5
"1493","17875",5
"1494","178m2",5
"1495","180m2",5
"1496","18128",5
"1497","1831",5
"1498","18344",5
"1499","18555",5
"1500","18557",5
"1501","18560",5
"1502","20775",5
"1503","260m2",5
"1504","29177",5
"1505","29250",5
"1506","2ptos",5
"1507","300",5
"1508","300m2",5
"1509","3442",5
"1510","360",5
"1511","40m2",5
"1512","424mtrs2",5
"1513","494m2",5
"1514","5464",5
"1515","54m2",5
"1516","5603",5
"1517","56m2",5
"1518","571",5
"1519","5p",5
"1520","600",5
"1521","6422",5
"1522","6571",5
"1523","69m2",5
"1524","7240",5
"1525","7573",5
"1526","78",5
"1527","7816",5
"1528","78m2",5
"1529","8808",5
"1530","9365",5
"1531","95",5
"1532","96",5
"1533","96m2",5
"1534","9767",5
"1535","a.v",5
"1536","accesible",5
"1537","alq",5
"1538","alquilamos",5
"1539","alquler",5
"1540","amenidades",5
"1541","amoblada",5
"1542","andres",5
"1543","aparatamento",5
"1544","ba",5
"1545","balcòn",5
"1546","barutaima",5
"1547","br",5
"1548","brokers",5
"1549","busca",5
"1550","cardona",5
"1551","cc",5
"1552","cerro",5
"1553","clte",5
"1554","codigo",5
"1555","conexión",5
"1556","consta",5
"1557","consultorio",5
"1558","corporativo",5
"1559","cuadra",5
"1560","cuadras",5
"1561","d",5
"1562","dan",5
"1563","definición",5
"1564","dejes",5
"1565","deposito",5
"1566","descubra",5
"1567","diplomáticos",5
"1568","dreidy",5
"1569","esparcimiento",5
"1570","exclusivos",5
"1571","extraordinaria",5
"1572","fresca",5
"1573","frescas",5
"1574","fé",5
"1575","gsd",5
"1576","hause",5
"1577","hermosas",5
